strategy,split,method,n,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
random,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
random,test_ny,B_monocular,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
random,test_ny,F1_nn,728,11.30789948509786,19.46527399756487,-9.343105209665117,0.6242642402648926,38.86616973876953,0.6074134582715149,0.52474068992352,13.685517453904055,11.904265010860604,0.4969535953759748,0.9955118162109129
random,test_ny,F2_linear,728,11.537909388194208,18.961055698089858,-8.624332295270166,2.162670135498047,37.85772171020508,0.6129212954639651,0.5227501805895507,13.984674426974083,12.136943718287307,0.5454888684622102,1.0171272163789782
random,test_ny,F4_depth_affine,728,28.163827556991386,31.842740915754845,-25.507633318004956,36.27855700141299,40.3230261881491,0.04375676244276967,-0.27471236264279697,36.82057095187509,37.94794881401602,-0.9975961326427101,-0.9270818831280532
random,test_ny,D_sparse_mono,728,28.163827556991386,31.842740915754845,-25.507633318004956,36.27855700141299,40.3230261881491,0.04375676244276967,-0.27471236264279697,36.82057095187509,37.94794881401602,-0.9975961326427101,-0.9270818831280532
random,test_ny,E_sparse_coarse,728,21.69838554633994,24.275499683256037,-19.873517174306606,26.47916603088379,32.10795569419861,0.5939183336206261,0.4684514328840147,28.13298525481808,29.527847860900447,-0.5108197646522254,-0.4688116945470179
building_aware,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
building_aware,test_ny,B_monocular,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
building_aware,test_ny,F1_nn,728,3.0057232238500697,9.777000634141501,-2.5833094679458823,0.014105796813964844,6.155523395538363,0.8618886034042826,0.8655096944824439,3.72174575961366,2.877095976345976,0.8811364148502142,0.9994425970478203
building_aware,test_ny,F2_linear,728,3.341631217654999,9.45052180725482,-2.030151226455448,0.6343593597412109,5.994210815429727,0.8683890027193645,0.8714020244655211,4.073403267212668,3.376518419930633,0.9154056355434516,1.0173904165482306
building_aware,test_ny,F4_depth_affine,728,11.018242754331876,14.811174490153546,-7.88065255058875,8.494521141052246,23.97138900756836,0.6930580937462252,0.5824486887510073,13.229408727236548,19.30985909401321,0.07240515990854846,0.11712915990814522
building_aware,test_ny,D_sparse_mono,728,11.018242754331876,14.811174490153546,-7.88065255058875,8.494521141052246,23.97138900756836,0.6930580937462252,0.5824486887510073,13.229408727236548,19.30985909401321,0.07240515990854846,0.11712915990814522
building_aware,test_ny,E_sparse_coarse,728,12.582828547659615,14.891954323604883,-11.240544429215298,12.10728645324707,22.587213706970218,0.8459914790718152,0.715925206723485,15.849661049550892,20.053798279292145,0.010988104993813369,0.044043131141225614
