outlier_frac_pct,split,method,n,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
0.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.0,val_cph,D_sparse_mono,3369,6.245531391535925,8.300395385692086,-3.201101661117946,5.2098188400268555,12.375361633300782,0.5224192304434623,0.5093334746821587,21.551062577300602,33.3820109202944,-1.3447316616548854,-0.8403128043770963
0.0,val_cph,E_sparse_coarse,3369,5.669283046033681,6.997840381093654,-4.116851301629289,5.14628791809082,10.292082977294926,0.7749030078768969,0.7471304172277683,16.956581486596,25.545645878232758,-0.6934935836232891,-0.42198306781216116
0.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.0,test_ny,D_sparse_mono,728,11.666280955623673,15.350822840148847,-8.265650118707555,9.379290103912354,24.038977909088135,0.6661746633605802,0.5615904440309432,13.724229563609779,20.908922699518115,0.00654566663799958,0.06585129879632973
0.0,test_ny,E_sparse_coarse,728,12.96440740149513,15.256486110353473,-11.420469347656693,12.455611228942871,22.811626243591313,0.8325840678996732,0.7045566106144824,16.143281543498137,20.867327250225443,-0.021175021361523754,0.02616997457916287
1.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
1.0,val_cph,D_sparse_mono,3369,6.23418452376986,8.27783036476237,-3.182689219079784,5.199068069458008,12.352391242980959,0.5231860022626306,0.5097716838364941,21.5246505273713,33.35779178553614,-1.3445908969748352,-0.8371757728307495
1.0,val_cph,E_sparse_coarse,3369,5.66623692733166,6.989038945492796,-4.106921011835125,5.1403303146362305,10.269351768493653,0.7758306362065034,0.7481203360838538,16.94229789574941,25.53264624496986,-0.693334617743974,-0.4203894139895965
1.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
1.0,test_ny,D_sparse_mono,728,11.633514299806698,15.286442452354498,-8.165266095320064,9.427076816558838,23.913514232635507,0.6660790369289991,0.5608039085931729,13.667036124277924,20.81168803910078,0.011310662232833859,0.07146572298943879
1.0,test_ny,E_sparse_coarse,728,12.948477864311911,15.225317961966125,-11.369817227406196,12.37405776977539,22.79115762710571,0.8326726689858623,0.7045061657271475,16.11929409163339,20.817653988448665,-0.01874732267370682,0.02622393165965326
5.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
5.0,val_cph,D_sparse_mono,3369,6.218955936406826,8.217745039073451,-3.165897933943431,5.24266242980957,12.193388938903814,0.5256431991357008,0.5113673831217025,21.507727517022026,33.33804377194109,-1.3485999127290358,-0.8329222212318566
5.0,val_cph,E_sparse_coarse,3369,5.67423509592749,6.973723423066933,-4.095271719741954,5.149911880493164,10.216451263427736,0.7791285650795926,0.7513180236576075,16.929405053456623,25.51965772694555,-0.6950582463818089,-0.4210411627325048
5.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
5.0,test_ny,D_sparse_mono,728,11.52698720849278,15.054974204911757,-7.867998940986066,9.235501766204834,23.565110397338888,0.6671163214125855,0.5621222639264924,13.45548248906734,20.65904767186591,0.01744392795082636,0.08597940625077577
5.0,test_ny,E_sparse_coarse,728,12.910941220387231,15.129464816885443,-11.21708320509316,12.19813346862793,22.572675895690917,0.835082716965601,0.7070186325046103,16.053473281860352,20.740421110475566,-0.01526847579107066,0.0298455785407843
10.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
10.0,val_cph,D_sparse_mono,3369,6.187390469686704,8.131210980956729,-3.1082306995538254,5.203535079956055,12.072830390930177,0.5298965091377018,0.5138319414021878,21.28698905971315,33.038789634046886,-1.3217487072550578,-0.8304579072933315
10.0,val_cph,E_sparse_coarse,3369,5.671945271973713,6.943343679393195,-4.061645034491885,5.169170379638672,10.094186592102055,0.7832576866089936,0.7553293927931334,16.814273198445637,25.36674354816305,-0.6814704149123927,-0.41696065216489936
10.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
10.0,test_ny,D_sparse_mono,728,11.46935740918315,14.844232743666103,-7.529678929741699,9.183225631713867,23.01845073699953,0.6664583589581825,0.5604464972247607,13.260918802019132,20.317613890040402,0.03341466852594959,0.09814640027643394
10.0,test_ny,E_sparse_coarse,728,12.891158700141554,15.039981518078134,-11.041616435737124,12.191517353057861,22.257624053955084,0.8354267072703205,0.7077533840858141,15.997022482813621,20.565458929035024,-0.00673285775606192,0.03595954502980781
