anchor_bin,n,method,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
0_anchors,7,A_coarse,22.73964241572789,23.101007279589016,-22.73964241572789,23.529752731323242,26.78105812072754,0.14229048511062742,0.28571428571428575,22.73964241572789,25.113502502441406,0.0,0.0
0_anchors,7,D_sparse_mono,19.302045685904368,20.865813009835506,-19.302045685904368,20.877805709838867,26.689727783203125,0.22126239051385213,0.3571428571428572,19.302045685904368,23.549617767333984,0.0649233632837292,0.0649233632837292
0_anchors,7,E_sparse_coarse,21.062094143458776,21.768015554624743,-21.062094143458776,22.79347801208496,26.117666244506836,0.21125835307579546,0.5,21.062094143458776,24.4106502532959,0.029049919166386464,0.029049919166386464
1_anchor,13,A_coarse,15.949907229496883,17.869026102408096,-15.949907229496883,17.818483352661133,23.675608444213868,0.7457174536058032,0.33516483516483514,19.551495838165284,23.78377628326416,0.0,0.0
1_anchor,13,D_sparse_mono,14.21301849071796,15.549543331136558,-5.687767542325533,13.278289794921875,21.491595458984374,0.2362978184196118,0.12087912087912088,13.820416831970215,19.319412231445312,0.1096155741172606,0.1096155741172606
1_anchor,13,E_sparse_coarse,13.50588607788086,15.009829326196856,-10.886150946983925,13.347370147705078,21.953322219848634,0.4885378137528515,0.4230769230769231,14.596763610839844,21.592400550842285,0.0528841589998934,0.0528841589998934
2-3_anchors,30,A_coarse,14.050975823402405,16.056613987491993,-12.373256341616313,14.344112873077393,23.900343227386475,0.8057012799449743,0.7076218090995852,19.472739279270172,20.29854393005371,0.0,0.0
2-3_anchors,30,D_sparse_mono,11.497329638512262,13.975624023880107,-0.9400669165130239,10.954715728759766,22.871708965301515,0.4985737810104422,0.4013430989376673,10.158426403999329,11.260948181152344,0.4452336965667987,0.4452336965667987
2-3_anchors,30,E_sparse_coarse,11.25623522522025,12.656395169300398,-6.752951263606277,11.720556259155273,17.779141807556158,0.7303008752783067,0.650367893214517,13.170124411582947,15.784957885742188,0.22236008946576594,0.22236008946576594
4-9_anchors,83,A_coarse,17.357658627521563,19.145712770840305,-16.801533311246388,18.94026756286621,25.500600814819336,0.7383313505403284,0.675085167242281,20.746926551773434,20.140542602539064,0.0,0.0
4-9_anchors,83,D_sparse_mono,14.162190991942214,16.832605284128128,-10.771720140360022,13.194520950317383,24.296803665161132,0.4946464632077654,0.3318795225335343,15.70628717589,22.027383057276406,-0.11524730984732337,0.01470916336580066
4-9_anchors,83,E_sparse_coarse,14.875761151313782,16.876095680588072,-13.89978604862489,14.56446647644043,24.555548858642577,0.701388603960322,0.5030729669779602,17.710930710747128,21.208111890157063,-0.0644628060304696,0.0016726219478932882
10plus_anchors,595,A_coarse,14.987287520736205,16.906742289345836,-13.63985140406284,16.24411964416504,23.569016456604004,0.869968555367284,0.8132243049600483,19.115796832263772,20.74374202040375,0.0,0.0
10plus_anchors,595,D_sparse_mono,11.181155015171088,15.117698895743963,-8.211904553650866,8.509429931640625,23.762590217590333,0.7032277209530822,0.6081241711822429,13.450566201783502,20.83325630568619,0.015277727368336165,0.06965386346465066
10plus_anchors,595,E_sparse_coarse,12.676810383119562,15.04947815109765,-11.208195435016833,12.183708190917969,22.44608726501465,0.8568514698235039,0.7409747412450092,15.965215827002742,20.797112554800314,-0.01988638679243981,0.02616997457916287
