noise_std_m,split,method,n,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
0.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.0,val_cph,D_sparse_mono,3369,6.245531391535925,8.300395385692086,-3.201101661117946,5.2098188400268555,12.375361633300782,0.5224192304434623,0.5093334746821587,21.551062577300602,33.3820109202944,-1.3447316616548854,-0.8403128043770963
0.0,val_cph,E_sparse_coarse,3369,5.669283046033681,6.997840381093654,-4.116851301629289,5.14628791809082,10.292082977294926,0.7749030078768969,0.7471304172277683,16.956581486596,25.545645878232758,-0.6934935836232891,-0.42198306781216116
0.0,val_cph,F4_depth_affine,3369,6.245531391535925,8.300395385692086,-3.201101661117946,5.2098188400268555,12.375361633300782,0.5224192304434623,0.5093334746821587,21.551062577300602,33.3820109202944,-1.3447316616548854,-0.8403128043770963
0.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.0,test_ny,D_sparse_mono,728,11.666280955623673,15.350822840148847,-8.265650118707555,9.379290103912354,24.038977909088135,0.6661746633605802,0.5615904440309432,13.724229563609779,20.908922699518115,0.00654566663799958,0.06585129879632973
0.0,test_ny,E_sparse_coarse,728,12.96440740149513,15.256486110353473,-11.420469347656693,12.455611228942871,22.811626243591313,0.8325840678996732,0.7045566106144824,16.143281543498137,20.867327250225443,-0.021175021361523754,0.02616997457916287
0.0,test_ny,F4_depth_affine,728,11.666280955623673,15.350822840148847,-8.265650118707555,9.379290103912354,24.038977909088135,0.6661746633605802,0.5615904440309432,13.724229563609779,20.908922699518115,0.00654566663799958,0.06585129879632973
0.05,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.05,val_cph,D_sparse_mono,3369,6.245704905285448,8.29895849347512,-3.1991354700806425,5.210808753967285,12.373534011840821,0.5223723411400389,0.509361024507905,21.55130150583055,33.38247392917501,-1.3448041245125482,-0.8402921970467958
