strategy,sparsity_pct,split,method,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
random,0.01,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
random,0.01,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
random,0.01,val_cph,F1_nn,3369,8.87362688892638,13.025838944044532,-6.765816530287079,5.219290733337402,21.681685638427737,0.31331741253321654,0.3016052158246795,24.488742125912623,31.175109065812208,-1.566280246009123,-0.8244375892739678
random,0.01,val_cph,F2_linear,3369,8.782777085222323,12.785380475935527,-6.227945025277038,5.0152788162231445,21.392782217264177,0.3155731047890062,0.31491356984921337,24.08779873036676,30.834590067123546,-1.5334738049691485,-0.8244388720336826
random,0.01,val_cph,F4_depth_affine,3369,8.806602968442586,11.198047576014396,-6.228972324652357,7.823337554931641,17.788375021924733,0.32967296490005615,0.3065620941484365,24.387384582279505,35.31827787708106,-1.5446560858169491,-1.1153712704528504
random,0.01,val_cph,D_sparse_mono,3369,8.806602968442586,11.198047576014396,-6.228972324652357,7.823337554931641,17.788375021924733,0.32967296490005615,0.3065620941484365,24.387384582279505,35.31827787708106,-1.5446560858169491,-1.1153712704528504
random,0.01,val_cph,E_sparse_coarse,3369,7.0257021267020665,8.455907912924436,-5.605347585204231,6.431741714477539,12.750447845458988,0.6918922129836511,0.6564196637266076,18.302032192548115,26.508229913382696,-0.7923991716975018,-0.5576901080485477
random,0.05,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
random,0.05,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
random,0.05,val_cph,F1_nn,3369,5.329699382732991,9.712355841972945,-3.680625062409068,0.2876605987548828,19.782835006713874,0.5568646823352519,0.5789324526793751,9.267668789834715,14.924369343395892,0.049119769265908046,0.9841923190101269
random,0.05,val_cph,F2_linear,3369,5.417760249652845,9.480651478554778,-3.2319335386405452,0.8229904174804688,19.29976460337639,0.5629580864061337,0.5885453692329423,9.217674346847666,14.862754864939328,0.0757496280349016,0.9643733396456714
random,0.05,val_cph,F4_depth_affine,3369,8.23623177118391,10.484146840823978,-6.286635626113154,7.049983024597168,15.986868572235112,0.4360112497449632,0.430998376652235,25.331285901607544,36.773929365750014,-1.684510958390379,-1.2487204741118827
