method,split,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
A_coarse,val_cph,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
B_monocular,val_cph,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
F1_nn,val_cph,3369,0.4288783189842861,2.3056041466096495,-0.28589100420602376,0.003810882568359375,0.07134704589843759,0.9668587439800986,0.9722229466842828,0.7097903357611762,1.722551674678408,0.9984383686348993,0.9998543041961152
F2_linear,val_cph,3369,0.7352777364388274,2.407789305302105,-0.2622516319026216,0.2165679931640625,0.918111038208008,0.9638065056067702,0.964897048390794,1.2037213908301458,2.496282643285291,0.9506998359649854,1.013212695693268
F4_depth_affine,val_cph,3369,6.2102666542004945,8.26979951647544,-3.1472226278763906,5.171945095062256,12.386652946472175,0.5238437104495511,0.5118030815180649,21.602766984038883,33.52943622654882,-1.3623883028483819,-0.8582355701059304
D_sparse_mono,val_cph,3369,6.2102666542004945,8.26979951647544,-3.1472226278763906,5.171945095062256,12.386652946472175,0.5238437104495511,0.5118030815180649,21.602766984038883,33.52943622654882,-1.3623883028483819,-0.8582355701059304
E_sparse_coarse,val_cph,3369,5.644778067240756,6.976376223816167,-4.089916944435575,5.075045585632324,10.235076141357425,0.775741282958577,0.7478756490536911,16.98189647992452,25.617312332679486,-0.7021330179485725,-0.43647677037284177
A_coarse,test_ny,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
B_monocular,test_ny,728,21.011705367181165,27.345655365243573,15.002603730064008,15.519070625305176,47.99007129669191,0.13607553843566203,0.028974297732292657,13.871470599271813,16.826632231054173,1.299508337226556,0.9680564247216579
F1_nn,test_ny,728,0.7736807095685175,4.779892847906896,-0.7265724031009025,0.0026531219482421875,0.04337730407714868,0.9627755144635352,0.9644152466163816,0.956757099774419,0.9006702261911311,0.9714956722136527,0.9999978536747145
F2_linear,test_ny,728,1.2032916997201168,4.498662013173387,-0.3692111691644231,0.49925804138183594,1.0814449310302743,0.9665925888227251,0.9624827792008022,1.4165366500007863,1.5336776535275956,0.984957866511351,1.020115948372471
F4_depth_affine,test_ny,728,11.30643805773504,15.077023692329405,-8.258412245845053,9.032638788223267,24.173175525665282,0.6850122193598012,0.5720658231071085,13.496051740673625,20.2686292588812,0.03304280430058876,0.09418910261579064
D_sparse_mono,test_ny,728,11.30643805773504,15.077023692329405,-8.258412245845053,9.032638788223267,24.173175525665282,0.6850122193598012,0.5720658231071085,13.496051740673625,20.2686292588812,0.03304280430058876,0.09418910261579064
E_sparse_coarse,test_ny,728,12.805990976979196,15.107073550425836,-11.41567813630476,12.445435523986816,22.6627423286438,0.8432352527644063,0.7107704242919015,16.076487546064417,20.547204622080628,-0.007953160566218101,0.027928982461005444
Phase29_MLP_LOCKED,test_ny,reference,7.63,,,,,,,,13.36,0.4481,
