Config,Seed,Val_MAE,Test_MAE,Test_Bias,Skyscraper_MAE
A,0,2.521875308080363,7.870066386153122,-5.72373477786436,14.163494287769
A,1,2.276616089449077,7.391533161420464,-5.054591879934121,12.559140240530173
B,0,2.480072012679475,7.538858804856294,-5.140162550650038,13.361096698760987
B,1,2.3575617087711533,7.593002416201234,-4.963295081262771,12.811602620442708
C,0,2.5488780025705733,7.830895312954417,-4.691019354607556,13.38261134316524
C,1,2.4055395449259303,7.572153128900964,-5.098098218436285,12.979913899739584
D,0,2.7928351983939077,7.9175540665284405,-4.28955368017265,13.043242882649103
D,1,2.667690119420754,7.959820927745545,-3.5242239180856685,12.624090679248175
