Config,IoU,Dice,Precision,Recall
A,0.3401195168806502,0.4822219556036743,0.5568582640092541,0.5206722662518357
B,0.41828730606601455,0.579384365442061,0.5720356196931544,0.6841314516546428
C,0.36060543965063774,0.5047916067426217,0.5844010971976572,0.5446857329817306
D,0.4683185364959102,0.6336110456922711,0.5068145728392477,0.891922543430506
