tile,iou,dice,precision,recall,pred_foreground_pct,target_foreground_pct,split
SV_Copenhagen_55.6747_12.5414.tif,0.5201265290052811,0.6843200471550669,0.5967415345316345,0.8020264188071762,48.98223876953125,36.444854736328125,copenhagen
SV_Copenhagen_55.6828_12.5583.tif,0.34768981356390166,0.5159789887325074,0.38206650831353917,0.7944190640819855,32.1197509765625,15.447616577148438,copenhagen
SV_Copenhagen_55.6748_12.5454.tif,0.5907583531472907,0.7427380179754951,0.647014884460404,0.8717027818042489,55.66558837890625,41.31736755371094,copenhagen
SV_Copenhagen_55.6724_12.5589.tif,0.6504224685097806,0.7881890617946663,0.8162762379682245,0.7619704873444699,52.630615234375,56.38160705566406,copenhagen
SV_Copenhagen_55.6762_12.5631.tif,0.5620760262428438,0.7196525864298262,0.7672941623882867,0.6775813141235538,40.12298583984375,45.435333251953125,copenhagen
SV_Copenhagen_55.6801_12.5629.tif,0.46809084776253657,0.6376864871488528,0.5357436995552627,0.7875421843550902,37.054443359375,25.207138061523438,copenhagen
SV_Copenhagen_55.6799_12.5366.tif,0.5643425419757907,0.721507632545768,0.6736926438455936,0.7766284361303757,52.37579345703125,45.433807373046875,copenhagen
SV_Copenhagen_55.6984_12.5817.tif,0.583029541899961,0.736599698828369,0.7152833257247204,0.7592256091097684,53.47900390625,50.383758544921875,copenhagen
SV_Copenhagen_55.6739_12.5632.tif,0.6444315301983669,0.7837742324493491,0.7952387993494011,0.7726355258337703,51.59759521484375,53.10707092285156,copenhagen
SV_Copenhagen_55.6999_12.5877.tif,0.5001931298159702,0.6668383155138555,0.5995401613358863,0.7511551998741569,48.61297607421875,38.800811767578125,copenhagen
SV_Copenhagen_55.6939_12.5502.tif,0.5915873869757776,0.7433929067506251,0.6407352424735817,0.8852218595624559,47.79510498046875,34.5947265625,copenhagen
SV_Copenhagen_55.6770_12.5512.tif,0.540915414677116,0.7020702233554587,0.6405815339780103,0.7766167805916067,46.075439453125,38.00468444824219,copenhagen
SV_Copenhagen_55.6699_12.5541.tif,0.6010011742166739,0.7507816782342178,0.7298489988292156,0.7729505460441605,50.82855224609375,47.994232177734375,copenhagen
SV_Copenhagen_55.6798_12.5510.tif,0.5396710281740784,0.701021215959468,0.6731406592070056,0.7313111125792812,50.18310546875,46.19140625,copenhagen
SV_Copenhagen_55.6800_12.5585.tif,0.60026734921732,0.7502088316816645,0.7609277516752676,0.739787704058709,39.6209716796875,40.753173828125,copenhagen
SV_Copenhagen_55.6950_12.5501.tif,0.5993122476369313,0.7494624624083845,0.6430054631300521,0.8981638942361645,61.72637939453125,44.19059753417969,copenhagen
SV_Copenhagen_55.6800_12.5610.tif,0.5881996151593742,0.7407124514387305,0.7365898376113148,0.7448814726526288,43.69354248046875,43.20716857910156,copenhagen
SV_Copenhagen_55.6947_12.5881.tif,0.309243138021116,0.4723998607142265,0.35542950296094217,0.704124169975779,45.8648681640625,23.151779174804688,copenhagen
SV_Copenhagen_55.6815_12.5628.tif,0.41921926304268514,0.5907744827869864,0.546348421453024,0.6430650071633238,20.05767822265625,17.041015625,copenhagen
SV_Copenhagen_55.6800_12.5451.tif,0.6175758144775139,0.7635819093610698,0.7147089502506302,0.819629506562552,52.66265869140625,45.92132568359375,copenhagen
SV_Copenhagen_55.7013_12.5865.tif,0.6099024670762329,0.7576887166138524,0.672249974897078,0.868006936341242,60.784912109375,47.076416015625,copenhagen
SV_Copenhagen_55.6797_12.5292.tif,0.5083100236265378,0.6740126574301636,0.740026884908868,0.6188114720224812,38.59405517578125,46.154022216796875,copenhagen
SV_Copenhagen_55.6909_12.5822.tif,0.5458497522986552,0.7062132027863444,0.5959785678926065,0.8664810914363734,52.40020751953125,36.04164123535156,copenhagen
SV_Copenhagen_55.6762_12.5612.tif,0.509296412687222,0.6748792462581248,0.6812846135323862,0.6685932023157812,38.0218505859375,38.74359130859375,copenhagen
SV_Copenhagen_55.6769_12.5294.tif,0.509444413670858,0.6750091743119266,0.5682211348359035,0.8312244676620513,30.87158203125,21.103668212890625,copenhagen
SV_Copenhagen_55.6758_12.5454.tif,0.6220698277288522,0.7670074581189219,0.705268058141797,0.8405932722725541,54.90264892578125,46.063995361328125,copenhagen
SV_Copenhagen_55.6799_12.5410.tif,0.5453804306416957,0.705820288425983,0.650599890928922,0.771283874791229,41.96929931640625,35.40229797363281,copenhagen
SV_Copenhagen_55.6784_12.5511.tif,0.5638581884012032,0.7211116616368632,0.6449993553793593,0.8175903417563786,47.3419189453125,37.348175048828125,copenhagen
SV_Copenhagen_55.6881_12.5848.tif,0.625915069446897,0.7699234495191934,0.7209386113758397,0.8260501907621831,65.64483642578125,57.29179382324219,copenhagen
SV_Copenhagen_55.6923_12.5821.tif,0.23753866367393864,0.3838888766008272,0.2484397366160893,0.8440813150471744,26.64947509765625,7.843780517578125,copenhagen
SV_Copenhagen_55.6957_12.5880.tif,0.3182392662405662,0.482824741138443,0.3562017007792544,0.7491244772364082,47.19085693359375,22.438812255859375,copenhagen
SV_Copenhagen_55.6805_12.5853.tif,0.6226173886003202,0.7674235380127337,0.7908596172976768,0.7453364768168094,52.1514892578125,55.336761474609375,copenhagen
SV_Copenhagen_55.6992_12.5523.tif,0.5633600449329598,0.7207041612184963,0.6450985671123874,0.8163844748772017,51.00860595703125,40.30647277832031,copenhagen
SV_Copenhagen_55.6950_12.5526.tif,0.5586822376789629,0.7168648287298094,0.6191400977775112,0.8512210962547551,50.87432861328125,37.00370788574219,copenhagen
SV_Copenhagen_55.6746_12.5370.tif,0.5860944880822484,0.7390410754038961,0.6795963914123158,0.8098819078300447,48.54278564453125,40.73371887207031,copenhagen
SV_Copenhagen_55.6833_12.5826.tif,0.6821084998467516,0.811016055039131,0.7824536133920066,0.8417427694710321,67.2698974609375,62.53166198730469,copenhagen
SV_Copenhagen_55.6770_12.5343.tif,0.4797522250666525,0.6484223736106132,0.5750055642109949,0.7433310041514243,47.99041748046875,37.12310791015625,copenhagen
SV_Copenhagen_55.6791_12.5829.tif,0.5214920764290265,0.6855008770771639,0.8428385899814471,0.5776647487045808,41.1224365234375,59.99946594238281,copenhagen
SV_Copenhagen_55.6857_12.5875.tif,0.6438533214507347,0.7833464373603853,0.7943059105247404,0.7726852759190301,66.27044677734375,68.12477111816406,copenhagen
SV_Copenhagen_55.6805_12.5828.tif,0.6425546565673954,0.7823845057432716,0.9008398764319733,0.6914612458627674,47.418212890625,61.7767333984375,copenhagen
SV_Copenhagen_55.6868_12.5886.tif,0.6314725287361829,0.7741135907759991,0.7453905843494786,0.8051389508280846,67.44842529296875,62.44316101074219,copenhagen
SV_Copenhagen_55.6951_12.5575.tif,0.49817587802885926,0.66504325070873,0.6621073961499493,0.6680052570093458,42.169189453125,41.796875,copenhagen
SV_Copenhagen_55.6777_12.5855.tif,0.5315696042358983,0.6941501094899293,0.6160236332574032,0.7949714306711496,53.5888671875,41.526031494140625,copenhagen
SV_Copenhagen_55.6710_12.5566.tif,0.6496132119396621,0.7875945794297179,0.7776121407467096,0.7978366461125082,56.8084716796875,55.36842346191406,copenhagen
SV_Copenhagen_55.6799_12.5560.tif,0.3316242864556305,0.49807485463983414,0.35395249911378945,0.8401788062056271,17.218017578125,7.2536468505859375,copenhagen
SV_Copenhagen_55.6792_12.5879.tif,0.6625961382261832,0.7970620441030306,0.7556665729691053,0.8432556514796148,59.71221923828125,53.50990295410156,copenhagen
SV_Copenhagen_55.6771_12.5537.tif,0.4080762642047312,0.5796223891824623,0.47414002674121797,0.7454671412531951,25.1068115234375,15.968704223632812,copenhagen
SV_Copenhagen_55.6785_12.5536.tif,0.43957210210943515,0.6106982782804987,0.5515319349516852,0.6840843649970036,32.37152099609375,26.099014282226562,copenhagen
SV_Copenhagen_55.6772_12.5586.tif,0.5750904159132008,0.7302316236617777,0.6886639237765266,0.7771397153155355,49.3255615234375,43.70994567871094,copenhagen
SV_Copenhagen_55.6895_12.5847.tif,0.6332126397412777,0.775419714902019,0.6747993722935124,0.9113058990798616,76.8157958984375,56.88018798828125,copenhagen
SV_Copenhagen_55.6980_12.5617.tif,0.48704679712752574,0.6550524140441798,0.6005890437855881,0.7203787004545348,38.85650634765625,32.395172119140625,copenhagen
SV_Copenhagen_55.6999_12.5841.tif,0.5067681766273315,0.6726557999939368,0.642245150002573,0.7060895146633477,59.3048095703125,53.94248962402344,copenhagen
SV_Copenhagen_55.6813_12.5366.tif,0.5956463569909708,0.7465894361633182,0.6877332019939704,0.8164623126262447,51.11846923828125,43.05877685546875,copenhagen
SV_Copenhagen_55.6758_12.5461.tif,0.5459944506759549,0.7063342956208282,0.6218465924372008,0.8173896136034221,56.7352294921875,43.16253662109375,copenhagen
SV_Copenhagen_55.6834_12.5888.tif,0.6417050111257665,0.781754342926358,0.8189440275493421,0.7477956317429029,59.375,65.02418518066406,copenhagen
SV_Copenhagen_55.6738_12.5564.tif,0.6847830462083401,0.8129035340775382,0.822368580060423,0.803653884762096,63.13323974609375,64.60342407226562,copenhagen
SV_Copenhagen_55.7007_12.5572.tif,0.39605747603971175,0.5673942267237222,0.5777155514690517,0.5574352253251336,36.50970458984375,37.837982177734375,copenhagen
SV_Copenhagen_55.6951_12.5551.tif,0.5316699213787396,0.694235636487729,0.6650895419375931,0.7260533359770001,42.00592041015625,38.478851318359375,copenhagen
SV_Copenhagen_55.6767_12.5880.tif,0.44820045405982906,0.6189757126554701,0.49588135342789597,0.8233616486246128,41.30859375,24.878692626953125,copenhagen
SV_Copenhagen_55.6829_12.5627.tif,0.5739320606240033,0.7292971214989563,0.7041736970378702,0.7562795731400382,32.55615234375,30.3131103515625,copenhagen
SV_Copenhagen_55.6923_12.5870.tif,0.5324071856287426,0.6948638594516865,0.6409457900807382,0.7586865997679022,19.84405517578125,16.764450073242188,copenhagen
SV_Copenhagen_55.6766_12.5831.tif,0.21517553793884484,0.35414725069897485,0.33130221506859814,0.38037619623803764,39.8162841796875,34.679412841796875,copenhagen
SV_Copenhagen_55.6711_12.5634.tif,0.318550883995486,0.48318330048850283,0.3818045613450974,0.6578623417910626,54.9957275390625,31.917953491210938,copenhagen
SV_Copenhagen_55.6867_12.5874.tif,0.6516895967975758,0.789118727951211,0.745123620497904,0.8386351326954324,71.343994140625,63.388824462890625,copenhagen
SV_Copenhagen_55.6964_12.5500.tif,0.5822999040564458,0.7360171135239774,0.6353150763309147,0.8746564981157747,58.67156982421875,42.61665344238281,copenhagen
SV_Copenhagen_55.6979_12.5549.tif,0.5868309587986138,0.739626304295074,0.6587173083783858,0.8431942529442245,55.60150146484375,43.43681335449219,copenhagen
SV_Copenhagen_55.6760_12.5513.tif,0.578436351325208,0.7329232513424695,0.6850584259365334,0.7879791141638254,53.277587890625,46.318817138671875,copenhagen
SV_Copenhagen_55.6867_12.5824.tif,0.6187239615021353,0.7644588901099294,0.7722460078685489,0.7568272508841937,52.74658203125,53.82118225097656,copenhagen
SV_Copenhagen_55.6857_12.5886.tif,0.6230159765072841,0.7677262399449806,0.7923842377603821,0.7445565785454704,57.50274658203125,61.19651794433594,copenhagen
SV_Copenhagen_55.6806_12.5889.tif,0.6588288386424114,0.7943301000018762,0.7261921097770154,0.8765787403205102,66.71905517578125,55.272674560546875,copenhagen
SV_Copenhagen_55.6856_12.5825.tif,0.5930575283094076,0.7445525572937408,0.750959706543066,0.738253814059781,53.66058349609375,54.58412170410156,copenhagen
SV_Copenhagen_55.6910_12.5883.tif,0.3426921463298262,0.5104552778781882,0.37627357468025147,0.7933799302950083,42.2332763671875,20.029830932617188,copenhagen
SV_Copenhagen_55.6786_12.5586.tif,0.5643980986249744,0.7215530357919142,0.7057275980583212,0.7381045025013897,43.06488037109375,41.17584228515625,copenhagen
SV_Copenhagen_55.6985_12.5878.tif,0.4558512997372062,0.6262333245428174,0.5271033617047334,0.771285531886298,49.8382568359375,34.059906005859375,copenhagen
SV_Copenhagen_55.7014_12.5877.tif,0.5494188876126697,0.7091934815112642,0.6778485877153654,0.7435778084188893,47.6470947265625,43.43528747558594,copenhagen
