tile,building_mae,building_rmse,building_bias,pearson
SV_NewYork_40.7373_-74.0034.tif,56.452369689941406,56.98039245605469,56.452369689941406,0.7028021415530499
SV_NewYork_40.7372_-73.9901.tif,53.94265365600586,55.75083541870117,53.942047119140625,0.8125300514989293
SV_NewYork_40.7374_-74.0108.tif,56.87168502807617,57.82877731323242,56.87168502807617,0.7230887082738938
SV_NewYork_40.7360_-74.0071.tif,57.565547943115234,57.95580291748047,57.565547943115234,0.48159649751799505
SV_NewYork_40.7400_-73.9852.tif,51.90953063964844,53.7354850769043,51.90941619873047,0.7143976726574909
SV_NewYork_40.7344_-73.9916.tif,52.79743576049805,54.45213317871094,52.7970085144043,0.7159567217751092
SV_NewYork_40.7345_-74.0034.tif,57.603336334228516,58.27460861206055,57.603336334228516,0.6219884332429984
SV_NewYork_40.7335_-74.0053.tif,56.87897491455078,57.35974884033203,56.87897491455078,0.48256296454621694
SV_NewYork_40.7334_-74.0020.tif,54.97532272338867,55.55644226074219,54.97532272338867,0.7360743587406642
SV_NewYork_40.7359_-74.0020.tif,57.019710540771484,57.58958053588867,57.019710540771484,0.6602871825972356
SV_NewYork_40.7333_-73.9798.tif,53.75825500488281,54.787681579589844,53.75825500488281,0.3183186779379058
SV_NewYork_40.7388_-74.0108.tif,60.613525390625,61.34075164794922,60.613525390625,0.7758749945973868
SV_NewYork_40.7334_-73.9990.tif,53.94975662231445,54.763702392578125,53.94975662231445,0.8484763563633042
SV_NewYork_40.7374_-74.0052.tif,56.89239501953125,57.346221923828125,56.89239501953125,0.22893198211053714
SV_NewYork_40.7386_-73.9852.tif,53.500308990478516,54.89604949951172,53.48802947998047,0.65940885780037
SV_NewYork_40.7387_-73.9915.tif,51.03017807006836,52.18092346191406,51.03017044067383,0.7542356639847513
SV_NewYork_40.7335_-74.0108.tif,58.477508544921875,59.03173065185547,58.477508544921875,0.9084971333382998
SV_NewYork_40.7345_-73.9971.tif,53.6473274230957,54.538055419921875,53.6473274230957,0.8067453848874179
SV_NewYork_40.7359_-74.0034.tif,56.935855865478516,57.43876266479492,56.935855865478516,0.6125548392887353
SV_NewYork_40.7401_-73.9952.tif,54.44919967651367,55.58281326293945,54.44919967651367,0.7429098012810282
SV_NewYork_40.7388_-74.0089.tif,59.00611114501953,59.507503509521484,59.00611114501953,0.6771745856165821
SV_NewYork_40.7345_-73.9990.tif,56.01468276977539,56.562782287597656,56.01468276977539,0.8052246972892023
SV_NewYork_40.7402_-74.0089.tif,60.19858932495117,60.65900802612305,60.19858932495117,0.6876275954825255
SV_NewYork_40.7388_-74.0034.tif,56.08567428588867,56.63638687133789,56.08567428588867,0.7310828517054614
SV_NewYork_40.7371_-73.9783.tif,54.37464904785156,56.107662200927734,54.3740234375,0.7760634784097759
SV_NewYork_40.7333_-73.9872.tif,57.26359939575195,57.94312286376953,57.263553619384766,0.6159293953098907
SV_NewYork_40.7400_-73.9901.tif,50.92977523803711,52.716224670410156,50.92469024658203,0.7321318752772501
SV_NewYork_40.7343_-73.9783.tif,55.904136657714844,56.86186218261719,55.904136657714844,0.39484248298272806
SV_NewYork_40.7346_-74.0053.tif,56.41270065307617,56.96251678466797,56.41270065307617,0.5386159957358526
SV_NewYork_40.7400_-73.9834.tif,53.36071014404297,54.30244064331055,53.36071014404297,0.7977470325931824
SV_NewYork_40.7374_-74.0071.tif,57.08480453491211,57.544490814208984,57.08480453491211,0.31475039380212905
SV_NewYork_40.7402_-74.0052.tif,56.066402435302734,56.734859466552734,56.066402435302734,0.6796699504050209
SV_NewYork_40.7400_-73.9797.tif,61.06601333618164,62.81305694580078,61.06267166137695,0.7818236534889865
SV_NewYork_40.7387_-73.9971.tif,55.04771041870117,56.21558380126953,55.04771041870117,0.7266440244533037
SV_NewYork_40.7402_-74.0034.tif,56.84716796875,57.656700134277344,56.84471130371094,0.5647061864035761
SV_NewYork_40.7358_-73.9902.tif,52.87858581542969,55.60853576660156,52.87624740600586,0.7561989396238045
SV_NewYork_40.7387_-73.9934.tif,52.95293045043945,54.488426208496094,52.95273971557617,0.7111100280689389
SV_NewYork_40.7400_-73.9815.tif,60.609432220458984,62.206207275390625,60.609432220458984,0.7759101862816391
SV_NewYork_40.7343_-73.9798.tif,55.00527572631836,55.847007751464844,55.00527572631836,0.4280092702522508
SV_NewYork_40.7372_-73.9834.tif,57.18075942993164,58.055694580078125,57.18075942993164,0.662996556889333
SV_NewYork_40.7358_-73.9816.tif,55.535736083984375,56.11231231689453,55.535736083984375,0.8443393550344728
SV_NewYork_40.7334_-73.9972.tif,54.894248962402344,56.08084487915039,54.894248962402344,0.7988192964438924
SV_NewYork_40.7344_-73.9853.tif,57.78319549560547,58.50432205200195,57.78319549560547,0.7318399216392417
SV_NewYork_40.7359_-73.9971.tif,53.93204116821289,54.78709411621094,53.93204116821289,0.7992533973329481
SV_NewYork_40.7402_-74.0071.tif,57.1921501159668,57.83016586303711,57.1921501159668,0.6626162889399042
SV_NewYork_40.7344_-73.9835.tif,56.04549789428711,57.1074333190918,56.04484939575195,0.7350076594491017
SV_NewYork_40.7385_-73.9797.tif,54.42060089111328,56.008338928222656,54.42060089111328,0.8027941837083356
SV_NewYork_40.7400_-73.9871.tif,50.9173469543457,52.51204299926758,50.89923095703125,0.7097287905259508
SV_NewYork_40.7360_-74.0053.tif,57.159969329833984,57.569190979003906,57.159969329833984,0.27943721590414855
SV_NewYork_40.7333_-73.9902.tif,54.12242126464844,55.50070571899414,54.12242126464844,0.5993419902367639
SV_NewYork_40.7335_-74.0072.tif,57.043331146240234,57.44828796386719,57.043331146240234,0.37771166899991654
SV_NewYork_40.7358_-73.9871.tif,54.096832275390625,55.3156852722168,54.09434127807617,0.7694230835895783
SV_NewYork_40.7333_-73.9853.tif,58.30197525024414,58.93546676635742,58.30197525024414,0.6986459927861749
SV_NewYork_40.7373_-73.9989.tif,54.98915481567383,56.045166015625,54.98915481567383,0.7023235360286034
