threshold,split,sample_count,IoU,Dice,Precision,Recall,predicted_foreground_pct,predicted_buildings,reference_buildings,matched_buildings,missed_buildings,false_positive_buildings,merged_buildings,fragmented_buildings,collapsed_foreground
0.3,copenhagen,216,0.4875685308343314,0.645654707192609,0.5047742103487723,0.9402223636274987,75.25832564742477,1280,4860,4605,255,701,412,441,False
0.4,copenhagen,216,0.5109158401526426,0.6681138283283787,0.5430405810358402,0.902759399075841,67.04061296251085,1846,4860,4471,389,858,649,395,False
0.5,copenhagen,216,0.5312678123507081,0.6869544927758853,0.5937420758167641,0.8413558574383757,57.144525316026474,3102,4860,4280,580,1268,991,643,False
0.6,copenhagen,216,0.5353312641686492,0.6914162837003843,0.6402975829673357,0.7712336602320128,48.59080138029876,4251,4860,4059,801,1549,1203,812,False
0.7,copenhagen,216,0.5252617699669047,0.6834594075424776,0.6842160612147085,0.6977930908000474,41.185082329644096,4972,4860,3839,1021,1611,1223,829,False
