epoch,train_loss,validation_loss,validation_mae,validation_rmse,validation_pearson,prediction_mean,prediction_std,target_std,mean_bias,gradient_x_mae,gradient_y_mae,prediction_variance,prediction_spatial_gradient_magnitude,correlation,prediction_std_over_target_std,loss_reduction,selected_parameter_relative_change
1,0.4489405155181885,0.7990928292274475,1.2236868143081665,1.4768003225326538,-0.057983660671387625,-0.11391951888799667,0.011821982450783253,1.4749408960342407,-0.057679273188114166,0.01621377281844616,0.010779987089335918,0.00013975927140563726,0.00011594366515055299,-0.057983660671387625,0.008015224530399627,,0.1613829413598234
2,0.44367027282714844,0.7987047433853149,1.2227648496627808,1.4777897596359253,-0.07768293867167185,-0.10316325724124908,0.024485116824507713,1.4749408960342407,-0.04692301154136658,0.01616028882563114,0.010675657540559769,0.000599520979449153,0.00023175326350610703,-0.07768293867167185,0.016600744402939988,0.005270242691040039,0.11888335979628292
3,0.4384695291519165,0.7985545992851257,1.2218650579452515,1.4799779653549194,-0.07982575669335891,-0.09269514679908752,0.04784369096159935,1.4749408960342407,-0.03645488619804382,0.016074039041996002,0.010522614233195782,0.0022890185937285423,0.0004519054782576859,-0.07982575669335891,0.03243770044632938,0.005200743675231934,0.08826692728325725
4,0.4299483299255371,0.8003658056259155,1.222191572189331,1.487237811088562,-0.09377922577977701,-0.07341675460338593,0.09676151722669601,1.4749408960342407,-0.017176494002342224,0.01592915691435337,0.010268887504935265,0.009362791664898396,0.0009297545766457915,-0.09377922577977701,0.06560365739865531,0.008521199226379395,0.18641670505431565
5,0.41288310289382935,0.8128409385681152,1.2312045097351074,1.5169501304626465,-0.11710258502862944,-0.013260670006275177,0.2192905992269516,1.4749408960342407,0.04297958314418793,0.015721695497632027,0.010024253278970718,0.04808836802840233,0.002154373098164797,-0.11710258502862944,0.14867755027782534,0.017065227031707764,0.07149236043915153
