regime,mean,median,p95,p99,max,min
all_pixels,2.060870963589482e-06,-0.0773971751332283,2.3067739009857178,5.686005992889392,31.462888717651367,-20.74966812133789
building_pixels,0.5603448306653737,0.16932842135429382,3.5063071250915527,7.429694652557373,31.462888717651367,-20.74966812133789
gt_30_pixels,1.0760878474673876,0.4292084574699402,5.26713590621948,9.356082000732421,31.462888717651367,-20.74966812133789
gt_40_pixels,0.9320882023654158,0.44227835536003113,4.1191523551940925,7.985285892486583,31.462888717651367,-20.74966812133789
