split,model,mae,rmse
Copenhagen,Baseline A (Coarse DEM),4.077103137969971,5.4427971839904785
Copenhagen,Baseline C (DTM + Coarse nDSM),4.077103137969971,5.4427971839904785
Copenhagen,Baseline B (Proposed DSM),7.184805870056152,9.69426441192627
NewYork,Baseline A (Coarse DEM),7.671358585357666,10.428727149963379
NewYork,Baseline C (DTM + Coarse nDSM),7.671358585357666,10.428727149963379
NewYork,Baseline B (Proposed DSM),8.142884254455566,11.287327766418457
