region,source,sensor,band,filename,URL,download_status,HTTP_status,size_bytes,SHA256,acquisition_date
Himachal Pradesh,AWS public Sentinel-2 L2A COG,Sentinel-2 MSI,B02,Himachal_B02.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/R/EQ/2025/12/S2C_43REQ_20251227_0_L2A/B02.tif,OK,200,220578082,c1b0b93eaba0c6ffd95eaa31afd15b3b6e15488bf98744be69c20219cb40174f,2025-12-27
Himachal Pradesh,AWS public Sentinel-2 L2A COG,Sentinel-2 MSI,B03,Himachal_B03.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/R/EQ/2025/12/S2C_43REQ_20251227_0_L2A/B03.tif,OK,200,219745529,7864b6d900eae0a8c399a82d340b7c6f0adc93fdc95bada872b0d35283a462de,2025-12-27
Himachal Pradesh,AWS public Sentinel-2 L2A COG,Sentinel-2 MSI,B04,Himachal_B04.tif,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/43/R/EQ/2025/12/S2C_43REQ_20251227_0_L2A/B04.tif,OK,200,223324927,94a26d158f969f94e0f9426b8e1caa8e779ddbc39f019b4279578c71da4fb5fb,2025-12-27
Himachal Pradesh,AWS public Copernicus DEM,DEM/DSM,DEM,Himachal_Copernicus_DSM_30m.tif,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N30_00_E076_00_DEM/Copernicus_DSM_COG_10_N30_00_E076_00_DEM.tif,OK,200,39750096,1f682577320595c6942e045dc4b46e697cbf49874236bc0c62da744f0b9b6142,2025-12-27
