Bin,Train_Count,Train_Proportion,Balanced_Weight_per_obj,Enriched_Weight_per_obj
<10m,1227,0.6159638554216867,0.32469437652811733,0.1623471882640587
10-20m,440,0.22088353413654618,0.9054545454545454,0.6790909090909091
20-30m,150,0.07530120481927711,2.656,2.656
30-40m,114,0.0572289156626506,3.4947368421052634,4.368421052631579
>=40m,61,0.030622489959839357,6.531147540983606,9.79672131147541
