region,data_type,min,max,mean,std,p1,p5,p25,p50,p75,p95,p99
uttarakhand,raw_reference_elevation,4385.92236328125,6123.02392578125,5269.354746121913,325.6350577524891,4504.596982421875,4661.3349609375,5033.6851806640625,5297.99365234375,5514.870361328125,5760.274365234375,5908.149448242188
uttarakhand,normalized_target,0.0,1.0,0.5085669150911625,0.18745884799265392,0.06831760543110156,0.15854720506950784,0.37289864413602036,0.525053519467144,0.6499032770554399,0.7911753875663933,0.8763028701500795
uttarakhand,model_prediction,-0.1817198544740677,-0.12502452731132507,-0.1536408949896213,0.002119279893935166,-0.1602456146478653,-0.1559799887239933,-0.15410147234797478,-0.15325939655303955,-0.15325939655303955,-0.15103968605399135,-0.14852358058094978
uttarakhand,inverse_transformed_prediction,4070.256591796875,4168.7421875,4119.03257207945,3.681409428192657,4107.559506835937,4114.96923828125,4118.232421875,4119.6953125,4119.6953125,4123.5509033203125,4127.921943359375
himachal,raw_reference_elevation,253.0883331298828,283.5838623046875,262.6821533322218,3.653011043269874,255.64458801269532,256.9818115234375,259.8646545410156,262.7068786621094,265.0643005371094,269.2635009765625,271.00973937988283
himachal,normalized_target,0.0,1.0,0.31459759715418745,0.11978841299425559,0.0838239227842116,0.12767374428024247,0.22220704458971607,0.31540838255639697,0.3927122345894909,0.5304111220356706,0.5876732339115011
himachal,model_prediction,0.003552408888936043,0.068776935338974,0.016541972114900716,0.005350709271529226,0.010353288063779473,0.01264330605044961,0.014642894268035889,0.015413430519402027,0.016030869912356138,0.027601449005305718,0.042252203300595335
himachal,inverse_transformed_prediction,253.19667053222656,255.1857147216797,253.59278932295274,0.16317271131508057,253.40406799316406,253.47389450073243,253.53488159179688,253.55838012695312,253.57720947265625,253.93005752563477,254.37683074951173
sikkim,raw_reference_elevation,597.342529296875,3369.79345703125,1721.2094294647686,557.8892483026599,719.4142309570312,878.8192962646484,1272.3697204589844,1690.234130859375,2125.2141723632812,2698.2589111328116,2984.6326708984384
sikkim,normalized_target,0.0,1.0,0.4053694472732503,0.20122601367684534,0.04403024790772844,0.10152632970055633,0.24347669580349843,0.3941969145890717,0.5510905992175562,0.7577830723059141,0.8610757065959822
sikkim,model_prediction,-0.004893169738352299,0.02083219401538372,0.0003182683328328828,0.0009570756948293584,0.0002602467138785869,0.0002602467138785869,0.0002602467138785869,0.0002602467138785869,0.0002602467138785869,0.0002602467138785869,0.0002602467138785869
sikkim,inverse_transformed_prediction,583.7764282226562,655.0987548828125,598.2248881401028,2.6534462614562693,598.0640258789062,598.0640258789062,598.0640258789062,598.0640258789062,598.0640258789062,598.0640258789062,598.0640258789062
