case,requested_mode,actual_mode,is_metric,fallback_occurred,dsm_min,dsm_max,dsm_mean,dsm_median,dsm_p95,dsm_p99,units
A_non_georeferenced_relative,CalibrationMode.MONOCULAR_RELATIVE,CalibrationMode.MONOCULAR_RELATIVE,0,1,0.0,9.999994277954102,5.411028861999512,5.4413251876831055,8.844050407409668,9.43655014038086,relative (0-10)
B_georeferenced_auto_no_ref,CalibrationMode.AUTO,CalibrationMode.MONOCULAR_RELATIVE,0,1,0.0,9.999994277954102,5.411028861999512,5.4413251876831055,8.844050407409668,9.43655014038086,relative (0-10)
C_georeferenced_auto_with_ref,CalibrationMode.AUTO,CalibrationMode.STRUCTURAL_PRIOR,1,0,77.36967468261719,168.15499877929688,107.50129699707031,107.02689361572266,131.46292114257812,152.71910095214844,meters
D_explicit_structural_prior_with_ref,CalibrationMode.STRUCTURAL_PRIOR,CalibrationMode.STRUCTURAL_PRIOR,1,0,77.36967468261719,168.15499877929688,107.50129699707031,107.02689361572266,131.46292114257812,152.71910095214844,meters
