region,split,mean,std,min,max,valid_pixels
uttarakhand,train,4517.42236328125,965.2066040039062,1067.159912109375,7095.341796875,77916541
himachal,validation,255.62551879882812,5.5973219871521,239.18978881835938,283.81805419921875,5641174
sikkim,test,4364.375,1400.8084716796875,1271.74755859375,7827.50927734375,11855400
