threshold,IoU,Dice,Precision,Recall,predicted_foreground_pct,predicted_components,reference_components,matched_buildings,missed_buildings,false_positives,merged_buildings,fragmented_buildings
0.3,0.5305304256927346,0.686303708461732,0.5683218527106445,0.896714353698481,64.11530530011213,2193,4860,4462,398,0,618,651
0.4,0.5433804259318201,0.6980022270540516,0.6163843950182434,0.8317602977745105,55.10776661060475,3143,4860,4234,626,0,859,703
0.5,0.5352925970638099,0.6920839672268086,0.6781281705707272,0.7286984359298735,43.98720352737992,4599,4860,3970,890,0,960,1064
0.6,0.4993335088805424,0.6604439613097931,0.7275340546843289,0.6233451832900003,35.040382102683736,5493,4860,3749,1111,0,906,1107
0.7,0.44225077416056646,0.6062206033642051,0.7676138691188491,0.5179128880721445,27.57374092384621,6397,4860,3522,1338,0,773,1443
