tile_id,category,base_mean_h,aug_mean_h,base_peak_h,aug_peak_h,gt_peak_h,base_valid_inst,aug_valid_inst
SV_NewYork_40.7373_-74.0034.tif,skyscraper,37.770118713378906,10.442216873168945,75.13426971435547,19.260271072387695,63.37625503540039,0,0
SV_NewYork_40.7372_-73.9901.tif,skyscraper,38.51457214355469,10.583646774291992,75.26618957519531,19.212526321411133,99.74158477783203,0,0
SV_NewYork_40.7374_-74.0108.tif,skyscraper,37.74268341064453,8.636972427368164,79.3121337890625,17.482576370239258,59.90920639038086,0,3
SV_NewYork_40.7360_-74.0071.tif,highrise,39.43980026245117,11.319580078125,71.77571105957031,19.36758041381836,48.67888641357422,0,0
SV_NewYork_40.7400_-73.9852.tif,skyscraper,37.4826545715332,10.906270980834961,70.88056945800781,19.28643798828125,97.09562683105469,0,0
SV_NewYork_40.7344_-73.9916.tif,skyscraper,36.028568267822266,10.191337585449219,75.45234680175781,19.272743225097656,101.14839172363281,0,0
SV_NewYork_40.7345_-74.0034.tif,skyscraper,43.209861755371094,11.398465156555176,77.01861572265625,19.13446044921875,61.30405807495117,0,0
SV_NewYork_40.7335_-74.0053.tif,highrise,30.013294219970703,8.468756675720215,76.4495849609375,19.153850555419922,57.85270690917969,0,0
SV_NewYork_40.7334_-74.0020.tif,skyscraper,37.01475524902344,9.938946723937988,72.491455078125,18.09955406188965,64.35079956054688,0,0
SV_NewYork_40.7359_-74.0020.tif,skyscraper,24.424488067626953,6.756918430328369,81.33198547363281,18.999393463134766,61.29999542236328,0,0
SV_NewYork_40.7333_-73.9798.tif,skyscraper,31.442520141601562,7.950396537780762,76.40188598632812,17.16571807861328,56.24441146850586,0,0
SV_NewYork_40.7388_-74.0108.tif,skyscraper,31.55409812927246,7.7666802406311035,81.09713745117188,17.981813430786133,59.90854263305664,0,0
SV_NewYork_40.7334_-73.9990.tif,skyscraper,18.698646545410156,6.221967697143555,48.543678283691406,16.589500427246094,106.04096984863281,1,0
SV_NewYork_40.7374_-74.0052.tif,mediumrise,35.39867401123047,10.003387451171875,74.0402603149414,19.23332977294922,61.962799072265625,0,0
SV_NewYork_40.7386_-73.9852.tif,skyscraper,33.82693862915039,9.872425079345703,72.19733428955078,19.35504722595215,97.09720611572266,0,0
SV_NewYork_40.7387_-73.9915.tif,skyscraper,25.590957641601562,7.649101257324219,74.1089096069336,19.271434783935547,91.97145080566406,0,0
SV_NewYork_40.7335_-74.0108.tif,skyscraper,39.493408203125,10.223418235778809,78.13488006591797,18.833606719970703,64.74529266357422,0,0
SV_NewYork_40.7345_-73.9971.tif,skyscraper,38.11845016479492,10.474248886108398,73.18238830566406,18.519731521606445,80.07666015625,0,0
SV_NewYork_40.7359_-74.0034.tif,skyscraper,37.281982421875,9.906126976013184,77.0920639038086,19.248022079467773,61.30410385131836,0,0
SV_NewYork_40.7401_-73.9952.tif,skyscraper,30.173749923706055,9.470804214477539,67.74793243408203,19.39980125427246,100.60273742675781,0,0
SV_NewYork_40.7388_-74.0089.tif,skyscraper,39.26737976074219,10.366006851196289,78.74334716796875,19.282955169677734,52.381690979003906,0,0
SV_NewYork_40.7345_-73.9990.tif,skyscraper,37.581504821777344,10.696803092956543,72.40596008300781,19.250288009643555,68.37654113769531,0,0
SV_NewYork_40.7402_-74.0089.tif,skyscraper,36.28863525390625,9.533246040344238,80.3388442993164,19.201202392578125,52.9764404296875,0,0
SV_NewYork_40.7388_-74.0034.tif,skyscraper,34.94231033325195,9.40280532836914,78.4634780883789,19.167373657226562,63.37493133544922,0,0
SV_NewYork_40.7371_-73.9783.tif,skyscraper,30.161062240600586,7.166868686676025,79.43778991699219,17.459518432617188,82.36690521240234,0,0
SV_NewYork_40.7333_-73.9872.tif,skyscraper,36.25832748413086,10.020973205566406,75.61566162109375,19.242446899414062,74.2821044921875,0,0
SV_NewYork_40.7400_-73.9901.tif,skyscraper,42.097469329833984,12.837630271911621,66.43773651123047,19.421489715576172,95.61286163330078,0,0
SV_NewYork_40.7343_-73.9783.tif,skyscraper,37.92795181274414,9.299248695373535,77.88452911376953,17.728410720825195,61.698463439941406,0,0
SV_NewYork_40.7346_-74.0053.tif,skyscraper,45.75917434692383,12.159784317016602,75.8941650390625,19.25847816467285,57.854339599609375,0,0
SV_NewYork_40.7400_-73.9834.tif,skyscraper,31.586074829101562,9.18520736694336,73.07658386230469,19.256742477416992,83.63521575927734,0,0
SV_NewYork_40.7374_-74.0071.tif,highrise,40.0845832824707,10.877117156982422,76.00226593017578,19.224822998046875,61.96296310424805,0,0
SV_NewYork_40.7402_-74.0052.tif,skyscraper,31.957120895385742,8.890341758728027,77.14366149902344,19.26015281677246,61.241580963134766,0,0
SV_NewYork_40.7400_-73.9797.tif,skyscraper,41.68385314941406,11.121953010559082,76.06280517578125,19.06192970275879,98.858642578125,0,0
SV_NewYork_40.7387_-73.9971.tif,skyscraper,40.33451843261719,11.53048324584961,71.47520446777344,19.25484275817871,100.61981201171875,0,0
SV_NewYork_40.7402_-74.0034.tif,skyscraper,34.246334075927734,9.421124458312988,76.35221099853516,19.152820587158203,87.93559265136719,0,0
SV_NewYork_40.7358_-73.9902.tif,skyscraper,42.58327865600586,11.654155731201172,74.6610336303711,19.2088623046875,144.93002319335938,0,0
SV_NewYork_40.7387_-73.9934.tif,skyscraper,42.31916809082031,12.268908500671387,70.02255249023438,19.319734573364258,87.96644592285156,0,0
SV_NewYork_40.7400_-73.9815.tif,skyscraper,33.24148941040039,9.072546005249023,77.92283630371094,19.18284034729004,98.86045837402344,0,0
SV_NewYork_40.7343_-73.9798.tif,skyscraper,33.788795471191406,8.859278678894043,76.66575622558594,18.114017486572266,60.61927032470703,0,0
SV_NewYork_40.7372_-73.9834.tif,skyscraper,33.75145721435547,9.793091773986816,72.35091400146484,19.261465072631836,60.66816711425781,0,0
SV_NewYork_40.7358_-73.9816.tif,skyscraper,38.026214599609375,10.080671310424805,78.28007507324219,19.13808250427246,76.1622543334961,0,0
SV_NewYork_40.7334_-73.9972.tif,skyscraper,40.46720504760742,11.107283592224121,73.0827865600586,18.690954208374023,106.04055786132812,0,0
SV_NewYork_40.7344_-73.9853.tif,skyscraper,35.618202209472656,8.957361221313477,78.35270690917969,18.0096435546875,71.257568359375,0,0
SV_NewYork_40.7359_-73.9971.tif,skyscraper,35.263179779052734,9.528881072998047,76.04620361328125,18.785608291625977,88.79747772216797,0,0
SV_NewYork_40.7402_-74.0071.tif,skyscraper,21.156396865844727,6.221461772918701,79.9246597290039,19.197528839111328,63.15229415893555,0,0
SV_NewYork_40.7344_-73.9835.tif,skyscraper,35.47825241088867,9.37395191192627,77.79606628417969,18.827518463134766,76.15769958496094,0,0
SV_NewYork_40.7385_-73.9797.tif,skyscraper,26.08694076538086,7.416746139526367,78.65750885009766,19.22626495361328,82.37067413330078,0,0
SV_NewYork_40.7400_-73.9871.tif,skyscraper,32.44075012207031,9.387957572937012,72.89773559570312,19.202320098876953,95.74150848388672,0,0
SV_NewYork_40.7360_-74.0053.tif,mediumrise,42.84612274169922,11.897468566894531,73.25582885742188,19.25848388671875,48.67866897583008,0,0
SV_NewYork_40.7333_-73.9902.tif,skyscraper,39.16289138793945,11.224054336547852,71.41160583496094,19.21552276611328,87.84417724609375,0,0
SV_NewYork_40.7335_-74.0072.tif,highrise,32.2274169921875,8.96345043182373,76.05923461914062,19.054903030395508,48.32762145996094,0,0
SV_NewYork_40.7358_-73.9871.tif,skyscraper,37.690574645996094,10.356910705566406,73.11463165283203,18.641494750976562,96.88618469238281,0,1
SV_NewYork_40.7333_-73.9853.tif,skyscraper,40.869407653808594,11.17538070678711,74.2214126586914,18.848140716552734,60.57810974121094,0,0
SV_NewYork_40.7373_-73.9989.tif,skyscraper,34.05293273925781,9.712087631225586,73.62055206298828,19.223703384399414,69.38294982910156,0,0
SV_NewYork_40.7372_-73.9871.tif,skyscraper,35.4322624206543,9.928142547607422,74.73481750488281,19.247798919677734,96.88618469238281,0,0
SV_NewYork_40.7334_-73.9953.tif,skyscraper,36.48340606689453,10.219632148742676,74.66094207763672,19.123088836669922,80.1369400024414,0,0
SV_NewYork_40.7344_-73.9902.tif,skyscraper,38.047325134277344,10.750907897949219,72.85177612304688,19.193927764892578,144.93035888671875,0,0
SV_NewYork_40.7335_-74.0035.tif,skyscraper,27.72760581970215,7.879201412200928,74.1497802734375,18.79833984375,57.853336334228516,0,0
SV_NewYork_40.7372_-73.9916.tif,skyscraper,36.6820068359375,9.639482498168945,77.1283950805664,19.110260009765625,99.73983001708984,0,0
SV_NewYork_40.7401_-73.9989.tif,skyscraper,39.41254425048828,11.309979438781738,71.63784790039062,19.31326675415039,68.70245361328125,0,0
SV_NewYork_40.7374_-74.0089.tif,skyscraper,33.71662139892578,9.210705757141113,78.26191711425781,19.185571670532227,55.2765998840332,0,0
SV_NewYork_40.7385_-73.9783.tif,skyscraper,45.43749237060547,11.891447067260742,77.76643371582031,19.258956909179688,83.77677917480469,0,0
SV_NewYork_40.7358_-73.9834.tif,skyscraper,33.13084411621094,9.101826667785645,77.3962631225586,19.1171817779541,76.1580581665039,0,0
SV_NewYork_40.7373_-73.9934.tif,skyscraper,44.591400146484375,12.275068283081055,73.48683166503906,19.24116325378418,87.32231140136719,0,0
SV_NewYork_40.7346_-74.0108.tif,skyscraper,40.41210174560547,10.59188461303711,77.6185531616211,19.00223159790039,68.08157348632812,0,0
SV_NewYork_40.7373_-73.9971.tif,skyscraper,42.95675277709961,12.012540817260742,72.68991088867188,19.27798080444336,81.74205017089844,0,0
SV_NewYork_40.7359_-73.9934.tif,skyscraper,34.26789855957031,9.587870597839355,75.44618225097656,19.24332618713379,87.26513671875,0,0
SV_NewYork_40.7388_-74.0052.tif,skyscraper,39.70707702636719,10.57894515991211,77.54527282714844,19.17252540588379,62.00228500366211,0,0
SV_NewYork_40.7333_-73.9835.tif,skyscraper,31.191457748413086,8.431845664978027,76.41969299316406,18.612695693969727,63.63603973388672,0,0
SV_NewYork_40.7346_-74.0071.tif,skyscraper,29.634323120117188,8.06987476348877,79.58291625976562,19.055191040039062,55.77592468261719,0,0
SV_NewYork_40.7359_-73.9953.tif,skyscraper,38.483070373535156,11.21401596069336,70.23114776611328,19.23099136352539,88.79295349121094,0,0
SV_NewYork_40.7359_-73.9990.tif,skyscraper,37.45526885986328,11.118263244628906,69.30255889892578,19.3228702545166,62.07466506958008,0,0
SV_NewYork_40.7373_-73.9953.tif,skyscraper,42.44160079956055,11.90135669708252,72.37525177001953,19.166852951049805,87.32393646240234,0,0
SV_NewYork_40.7357_-73.9783.tif,skyscraper,37.509525299072266,9.318741798400879,76.3150634765625,17.356891632080078,61.699222564697266,0,0
SV_NewYork_40.7357_-73.9797.tif,skyscraper,27.444711685180664,7.780578136444092,75.06887817382812,18.200889587402344,60.6185188293457,0,0
SV_NewYork_40.7358_-73.9853.tif,skyscraper,32.03892135620117,8.563233375549316,77.85520935058594,18.66931915283203,96.8844985961914,0,0
SV_NewYork_40.7386_-73.9815.tif,skyscraper,27.047985076904297,7.798763751983643,76.25060272216797,19.18984031677246,83.64022827148438,0,0
SV_NewYork_40.7373_-74.0020.tif,skyscraper,25.670106887817383,7.3152875900268555,77.96672058105469,19.167638778686523,64.09874725341797,0,0
SV_NewYork_40.7387_-74.0020.tif,skyscraper,34.805606842041016,9.534658432006836,76.81000518798828,19.209815979003906,69.18580627441406,0,0
SV_NewYork_40.7358_-73.9916.tif,skyscraper,42.82503890991211,11.234490394592285,77.79046630859375,19.2479305267334,101.14806365966797,0,0
SV_NewYork_40.7386_-73.9834.tif,skyscraper,35.62443161010742,9.833378791809082,75.91178894042969,19.217945098876953,83.63920593261719,0,0
SV_NewYork_40.7344_-73.9871.tif,skyscraper,36.7826042175293,9.98873519897461,76.08744049072266,18.986297607421875,74.2821044921875,0,0
SV_NewYork_40.7345_-74.0020.tif,skyscraper,27.122480392456055,7.748861312866211,77.1866683959961,19.233135223388672,61.300331115722656,0,0
SV_NewYork_40.7388_-74.0071.tif,skyscraper,40.3892936706543,10.762248992919922,77.62162017822266,19.23663330078125,63.15135192871094,0,0
SV_NewYork_40.7402_-74.0107.tif,skyscraper,40.08123779296875,10.457286834716797,79.90013122558594,19.273704528808594,57.60350799560547,0,0
SV_NewYork_40.7401_-73.9971.tif,skyscraper,36.61469268798828,10.465832710266113,72.6907730102539,19.268150329589844,100.61981201171875,0,0
SV_NewYork_40.7387_-73.9989.tif,skyscraper,32.77236557006836,8.992427825927734,76.53065490722656,19.000537872314453,69.35710144042969,0,0
SV_NewYork_40.7346_-74.0090.tif,skyscraper,32.842777252197266,8.82691478729248,78.95951843261719,19.15365219116211,68.08048248291016,0,0
SV_NewYork_40.7401_-74.0019.tif,skyscraper,32.87974166870117,9.135695457458496,75.12383270263672,18.954940795898438,87.9355239868164,0,0
SV_NewYork_40.7386_-73.9871.tif,skyscraper,29.5584774017334,8.627455711364746,72.15568542480469,18.89995574951172,95.74150848388672,0,0
SV_NewYork_40.7386_-73.9901.tif,skyscraper,30.981794357299805,9.08448600769043,72.5672836303711,19.25292205810547,95.61286163330078,0,0
SV_NewYork_40.7333_-73.9816.tif,skyscraper,33.866539001464844,8.928738594055176,76.51094055175781,18.283016204833984,61.88819885253906,0,0
SV_NewYork_40.7332_-73.9784.tif,skyscraper,35.98045349121094,8.586831092834473,76.99128723144531,17.18390464782715,57.79109573364258,0,0
SV_NewYork_40.7334_-73.9916.tif,skyscraper,33.156856536865234,9.014861106872559,75.8956298828125,18.935914993286133,87.84745025634766,0,0
SV_NewYork_40.7372_-73.9853.tif,skyscraper,39.78071212768555,11.188326835632324,73.0313720703125,19.271011352539062,96.8844985961914,0,0
SV_NewYork_40.7343_-73.9816.tif,skyscraper,33.20603942871094,9.085585594177246,76.062255859375,18.802078247070312,76.16189575195312,0,0
SV_NewYork_40.7387_-73.9952.tif,skyscraper,37.09362030029297,11.030855178833008,69.64534759521484,19.396501541137695,100.60273742675781,0,0
SV_NewYork_40.7372_-73.9816.tif,skyscraper,41.24395751953125,11.43032169342041,73.8888168334961,19.2706298828125,72.05387878417969,0,0
SV_NewYork_40.7399_-73.9783.tif,skyscraper,37.142574310302734,10.071523666381836,76.87275695800781,19.20613670349121,83.77677917480469,0,0
SV_NewYork_40.7345_-73.9934.tif,skyscraper,38.77444076538086,11.139732360839844,71.85124206542969,19.360578536987305,87.26411437988281,0,0
SV_NewYork_40.7371_-73.9797.tif,skyscraper,31.13766860961914,7.647869110107422,78.77705383300781,17.72629737854004,82.365234375,0,0
SV_NewYork_40.7334_-73.9935.tif,skyscraper,38.290252685546875,9.689403533935547,77.16067504882812,17.952470779418945,69.74008178710938,0,0
SV_NewYork_40.7401_-73.9915.tif,skyscraper,41.2731819152832,11.33740234375,74.5933837890625,19.25623321533203,87.44552612304688,0,0
SV_NewYork_40.7401_-73.9934.tif,skyscraper,35.74596405029297,10.540338516235352,70.46942901611328,19.3237247467041,87.96581268310547,0,0
SV_NewYork_40.7360_-74.0108.tif,skyscraper,34.86369705200195,8.823745727539062,78.75308227539062,18.349807739257812,68.08316040039062,0,0
SV_NewYork_40.7345_-73.9953.tif,skyscraper,40.01987075805664,10.997221946716309,73.87413024902344,19.003559112548828,87.26165008544922,0,0
SV_NewYork_40.7360_-74.0090.tif,skyscraper,33.47569274902344,9.502947807312012,75.32630157470703,19.143003463745117,68.08187866210938,0,0
SV_NewYork_40.7335_-74.0090.tif,skyscraper,36.89519119262695,9.385870933532715,79.88448333740234,18.832277297973633,64.74842071533203,0,0
