split,tile_id,category,model,iou,dice,boundary_f1,area_err_pct,cent_err_px,w_err_px,h_err_px
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,mediumrise,Baseline_A,0.3856287952125319,0.5566119822926789,0.1674691159705496,675728.255221715,218.87285299181514,470.62068965517244,463.2413793103448
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,mediumrise,Augmented_D,0.3732782150564936,0.5436308694973914,0.05359676133529404,1138432.6875983982,218.91885444785726,471.5081967213115,464.55737704918033
Copenhagen_Val,SV_Copenhagen_55.6828_12.5583.tif,highrise,Baseline_A,0.23220327868852458,0.3768911878495671,0.11925099715693586,3763.338826229681,195.18296070870946,398.42857142857144,375.0
Copenhagen_Val,SV_Copenhagen_55.6828_12.5583.tif,highrise,Augmented_D,0.2180831886582099,0.3580760176132819,0.041998090995863824,4598.71488608286,196.7764965744217,398.42857142857144,375.0
Copenhagen_Val,SV_Copenhagen_55.6748_12.5454.tif,highrise,Baseline_A,0.4719046844422098,0.6412163633014618,0.20504260568725244,74446.83547139776,223.15350727315374,439.0882352941176,445.61764705882354
Copenhagen_Val,SV_Copenhagen_55.6748_12.5454.tif,highrise,Augmented_D,0.4205122777307367,0.5920572237538186,0.04431228889031058,101625.58544773544,222.9519337222449,433.35897435897436,439.3333333333333
Copenhagen_Val,SV_Copenhagen_55.6724_12.5589.tif,highrise,Baseline_A,0.5458446663313138,0.7062089461119574,0.18632756275203696,1207229.0135886082,223.1766766852023,447.25,442.77777777777777
Copenhagen_Val,SV_Copenhagen_55.6724_12.5589.tif,highrise,Augmented_D,0.5643018616766948,0.7214743848375257,0.012931034482758622,1530053.973182846,219.95301364197098,450.1842105263158,445.92105263157896
Copenhagen_Val,SV_Copenhagen_55.6762_12.5631.tif,skyscraper,Baseline_A,0.4545854675222121,0.6250378237266012,0.12131000938286124,11812.489236095362,187.6709111195715,408.46666666666664,408.4
Copenhagen_Val,SV_Copenhagen_55.6762_12.5631.tif,skyscraper,Augmented_D,0.45282121642058654,0.6233681216966706,0.0866287124270048,211062.25581365929,182.7403289863807,414.75,414.625
Copenhagen_Val,SV_Copenhagen_55.6801_12.5629.tif,highrise,Baseline_A,0.2743726098289541,0.4306002933722506,0.09001048902717661,15150.504723295728,211.59186360011608,419.9,387.3
Copenhagen_Val,SV_Copenhagen_55.6801_12.5629.tif,highrise,Augmented_D,0.2677436354791633,0.42239397301799975,0.023257833166434167,18605.352926687963,212.6483762182851,419.9,387.3
Copenhagen_Val,SV_Copenhagen_55.6799_12.5366.tif,mediumrise,Baseline_A,0.45040136882517684,0.621071351015066,0.175076127108269,567831.3540094505,195.47279835958588,457.2894736842105,449.63157894736844
Copenhagen_Val,SV_Copenhagen_55.6799_12.5366.tif,mediumrise,Augmented_D,0.45684981178989537,0.6271748921443133,0.0021512315800795954,1442262.372882355,198.99717058603977,461.0731707317073,454.0731707317073
Copenhagen_Val,SV_Copenhagen_55.6984_12.5817.tif,mediumrise,Baseline_A,0.5242156188488628,0.6878496878870294,0.16879233139372243,22717.994932275844,228.15496056785454,413.0,400.0
Copenhagen_Val,SV_Copenhagen_55.6984_12.5817.tif,mediumrise,Augmented_D,0.5065745059531116,0.6724851694375843,0.0008827099194527199,31341.4390401542,228.96250487719092,413.0,400.0
Copenhagen_Val,SV_Copenhagen_55.6739_12.5632.tif,highrise,Baseline_A,0.5432401087821811,0.7040253887787673,0.09409413113171632,26046.78750426512,249.33902824480265,414.3333333333333,399.25
Copenhagen_Val,SV_Copenhagen_55.6739_12.5632.tif,highrise,Augmented_D,0.5326385646379829,0.6950608929298276,0.0094094341958648,28056.221733310605,249.5744140611954,414.3333333333333,399.25
Copenhagen_Val,SV_Copenhagen_55.6999_12.5877.tif,mediumrise,Baseline_A,0.41353884568269184,0.5851113988777102,0.15695386899978994,106061.98394919366,227.02830330337318,396.4166666666667,379.0833333333333
Copenhagen_Val,SV_Copenhagen_55.6999_12.5877.tif,mediumrise,Augmented_D,0.38810879286924405,0.5591907419115424,0.0,139874.7852042023,223.04804375427057,396.4166666666667,379.0833333333333
Copenhagen_Val,SV_Copenhagen_55.6939_12.5502.tif,mediumrise,Baseline_A,0.38841956803227,0.5595132436555262,0.11601543364801364,19458.835164539712,172.3979110419796,378.53846153846155,361.0769230769231
Copenhagen_Val,SV_Copenhagen_55.6939_12.5502.tif,mediumrise,Augmented_D,0.37165020281753036,0.5419023043252824,0.02895879486043421,82672.85126205937,201.34782285518597,413.64285714285717,399.35714285714283
