split,tile_id,prediction_id,reference_id,footprint_iou,centroid_error,area_error,model
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,44,0.0051545451227967744,267.8201816345151,217950.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,45,0.0004061108271884354,243.99444724137706,219063.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,46,0.0051151712053734396,110.43496217589215,218031.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,47,0.012114879170621304,141.24444149756414,216497.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,48,0.003185004015477842,159.47855650472786,218454.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,49,0.021500764299240263,187.91642919333452,214437.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,50,7.300868803387604e-05,137.98740667905105,219136.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,51,0.009571209800918835,290.28546711685425,216796.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,52,0.0016061911367452727,141.92247095227506,218800.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,53,0.006306125428926042,243.91803293820934,217770.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,54,0.0046803720599561584,311.7316004196729,217850.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,55,0.0001232021610571658,159.79716612889297,219125.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,56,0.00042892604219902167,175.9105890671271,219058.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,57,3.650434401693802e-05,165.60872784990875,219144.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,58,6.844564503175879e-05,173.25137363429184,219137.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,59,0.016513494065890026,250.13093783220071,215100.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,60,0.009863740833971762,231.94382128946776,216853.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,61,0.0001049499890486968,287.5224614838559,219129.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,62,0.0077454707915059675,324.38474032470396,217251.0,Baseline_A
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,1,0.006323050392795555,325.6766177093383,248928.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,2,0.004626524877051798,282.7179170350733,249353.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,3,0.05871575014370569,193.18187701963117,235803.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,4,0.004921919908028358,227.8363136558124,249279.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,5,0.00288608928913585,255.290275525609,249789.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,6,0.002171552660152009,298.332284365606,249968.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,7,0.0038521108769240596,328.92954317345493,249547.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,8,0.00024350130931851568,263.79139123487187,250451.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,9,0.004754263268825445,228.44108690844035,249321.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,10,0.0027024653509612312,267.1963518638016,249835.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,11,7.983649485852972e-06,286.57905861180643,250510.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,12,0.0031136232994826594,190.1724435655745,249732.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,13,0.0026625471035319663,297.660583413971,249845.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,14,0.0021036916395222585,240.70091082502879,249985.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,15,0.002458964041642716,296.81026772549916,249896.0,Config_D
