config,val_iou,IoU,Dice,Precision,Recall
A,0.2203,0.4316951925670589,0.5976587634280899,0.4318243278757184,0.9992146606081096
B,0.2293,0.4288314362939552,0.5951498461005471,0.4290453931280197,0.9981868091966457
D,0.2763,0.4418051998551774,0.6090390421048192,0.44205703478769054,0.9989609912426003
