config,IoU,Dice,Precision,Recall,inst_valid_instances,inst_mega_components,inst_fragments,inst_missed_buildings
A,0.4316951925670589,0.5976587634280899,0.4318243278757184,0.9992146606081096,1,16,1,2
B,0.4288314362939552,0.5951498461005471,0.4290453931280197,0.9981868091966457,1,16,5,0
D,0.4418051998551774,0.6090390421048192,0.44205703478769054,0.9989609912426003,3,16,4,0
