region,optical_crs,dem_crs,common_crs,optical_bounds,dem_reprojected_bounds,intersection,overlap_area,optical_area,dem_area,overlap_percentage
uttarakhand,EPSG:32644,EPSG:4326,EPSG:32644,"[399960.0, 3290220.0, 509760.0, 3400020.0]","[403536.58523938234, 3318800.7426035865, 499986.7408441257, 3430046.5614345926]","[403536.58523938234, 3318800.7426035865, 499986.7408441257, 3400020.0]",7833610013.985782,12056040000.0,10729676536.627623,64.97664252926982
himachal,EPSG:32643,EPSG:4326,EPSG:32643,"[499980.0, 3390240.0, 609780.0, 3500040.0]","[595454.9551666201, 3319221.4970407668, 692901.4367747928, 3431334.001799481]","[595454.9551666201, 3390240.0, 609780.0, 3431334.001799481]",588673418.16056,12056040000.0,10924969133.016228,4.882809099509956
sikkim,EPSG:32645,EPSG:4326,EPSG:32645,"[499980.0, 2990220.0, 609780.0, 3100020.0]","[598311.5518962743, 2986843.6280741184, 698440.2054054897, 3098829.4203634355]","[598311.5518962743, 2990220.0, 609780.0, 3098829.4203634355]",1245581501.013787,12056040000.0,11212986594.091991,10.331597282472412
