region,shape,valid_pixel_count,finite_fraction,nodata_fraction,min,max,mean
uttarakhand,"(10980, 10980)",77916541,0.6462863510738186,0.3537136489261814,1067.159912109375,7095.341796875,4517.42236328125
himachal,"(10980, 10980)",5641174,0.04679126811125378,0.9532087318887462,239.18978881835938,283.81805419921875,255.62551879882812
sikkim,"(10980, 10980)",11855400,0.09833577194501678,0.9016642280549833,1271.74755859375,7827.50927734375,4364.375
