source,URL,product,file,download_status,HTTP_status,size,SHA256,dimensions,CRS,resolution
AWS Public COG,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/R/MU/2026/8/S2A_44RMU_20260830_1_L2A/B02.tif,Sentinel-2 L2A B02,S2A_44RMU_20260830_1_L2A_B02.tif,OK,200,110400173,590d5de4ec7dc24ebceb8ddd2b2d13e83ff5e8dc74148492ea7898b28e29e5e9,10980x10980,EPSG:32644,10.0m x 10.0m
AWS Public COG,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/R/MU/2026/8/S2A_44RMU_20260830_1_L2A/B03.tif,Sentinel-2 L2A B03,S2A_44RMU_20260830_1_L2A_B03.tif,OK,200,110030561,653b3aa35305b8223148f54b0b26cdc627b1bb0c5ab43587ac1a43d901a74482,10980x10980,EPSG:32644,10.0m x 10.0m
AWS Public COG,https://sentinel-cogs.s3.us-west-2.amazonaws.com/sentinel-s2-l2a-cogs/44/R/MU/2026/8/S2A_44RMU_20260830_1_L2A/B04.tif,Sentinel-2 L2A B04,S2A_44RMU_20260830_1_L2A_B04.tif,OK,200,109863325,b00a734d4f1ecd5375be588471d5d803d54879eaf5e3e398e41946dd7720060d,10980x10980,EPSG:32644,10.0m x 10.0m
AWS Public COG,https://copernicus-dem-30m.s3.amazonaws.com/Copernicus_DSM_COG_10_N30_00_E080_00_DEM/Copernicus_DSM_COG_10_N30_00_E080_00_DEM.tif,Copernicus DEM GLO-30 / DSM,DEM_80_30_N30_E080.tif,OK,200,39159632,b093ff5d40d7afc7a6b8de94267d43938ec81ed81e722f3d25f8d254cedb452b,3600x3600,EPSG:4326,0.0002777777777777778m x 0.0002777777777777778m
